,Max Temperature In  C
R18:Capacity Planning16,25.1
R18:Capacity Planning17,25.1
R18:Capacity Planning18,25.1
R18:Capacity Planning19,25.1
R18:Capacity Planning20,25.11
R18:Capacity Planning21,25.11
R18:Capacity Planning22,25.11
R18:Capacity Planning23,25.11
R18:Capacity Planning24,25.11
R18:Capacity Planning25,25.11
R18:Capacity Planning26,25.11
R18:Capacity Planning27,25.12
R18:Capacity Planning28,25.12
R18:Capacity Planning29,25.12
R18:Capacity Planning30,25.12
R18:Capacity Planning31,25.12
R18:Capacity Planning32,25.12
R18:Capacity Planning33,25.12
R18:Capacity Planning34,25.13
R18:Capacity Planning35,25.13
R18:Capacity Planning36,25.13
R18:Capacity Planning37,25.13
R18:Capacity Planning38,25.13
R18:Capacity Planning39,25.13
R18:Capacity Planning40,25.13
R18:Capacity Planning41,25.14
R18:Capacity Planning42,25.14
R20:Capacity Planning0,25.08
R20:Capacity Planning1,25.08
R20:Capacity Planning2,25.08
R20:Capacity Planning3,25.08
R20:Capacity Planning4,25.08
R20:Capacity Planning5,25.08
R20:Capacity Planning6,25.08
R20:Capacity Planning7,25.08
R20:Capacity Planning8,25.08
R20:Capacity Planning9,25.08
R20:Capacity Planning10,25.08
R20:Capacity Planning11,25.08
R20:Capacity Planning12,25.08
R20:Capacity Planning13,25.08
R20:Capacity Planning14,25.08
R20:Capacity Planning15,25.08
R20:Capacity Planning16,25.08
R20:Capacity Planning17,25.08
R20:Capacity Planning18,25.08
R20:Capacity Planning19,25.08
R20:Capacity Planning20,25.08
R20:Capacity Planning21,25.08
R20:Capacity Planning22,25.08
R20:Capacity Planning23,25.08
R20:Capacity Planning24,25.08
R20:Capacity Planning25,25.08
R20:Capacity Planning26,25.08
R20:Capacity Planning27,25.09
R20:Capacity Planning28,25.09
R20:Capacity Planning29,25.09
R20:Capacity Planning30,25.09
R20:Capacity Planning31,25.09
R20:Capacity Planning32,25.1
R20:Capacity Planning33,25.1
R20:Capacity Planning34,25.1
R20:Capacity Planning35,25.1
R20:Capacity Planning36,25.11
R20:Capacity Planning37,25.11
R20:Capacity Planning38,25.11
R20:Capacity Planning39,25.11
R20:Capacity Planning40,25.11
R20:Capacity Planning41,25.12
R20:Capacity Planning42,25.12
R21:Capacity Planning0,25.07
R21:Capacity Planning1,25.07
R21:Capacity Planning2,25.06
R21:Capacity Planning3,25.06
R21:Capacity Planning4,25.06
R21:Capacity Planning5,25.06
R21:Capacity Planning6,25.06
R21:Capacity Planning7,25.06
R21:Capacity Planning8,25.06
R21:Capacity Planning9,25.06
R21:Capacity Planning10,25.06
R21:Capacity Planning11,25.06
R21:Capacity Planning12,25.06
R21:Capacity Planning13,25.06
R21:Capacity Planning14,25.06
R21:Capacity Planning15,25.06
R21:Capacity Planning16,25.06
R21:Capacity Planning17,25.06
R21:Capacity Planning18,25.06
R21:Capacity Planning19,25.06
R21:Capacity Planning20,25.06
R21:Capacity Planning21,25.06
R21:Capacity Planning22,25.06
R21:Capacity Planning23,25.07
R21:Capacity Planning24,25.07
R21:Capacity Planning25,25.07
R21:Capacity Planning26,25.07
R21:Capacity Planning27,25.07
R21:Capacity Planning28,25.07
R21:Capacity Planning29,25.07
R21:Capacity Planning30,25.07
R21:Capacity Planning31,25.07
R21:Capacity Planning32,25.08
R21:Capacity Planning33,25.08
R21:Capacity Planning34,25.08
R21:Capacity Planning35,25.08
R21:Capacity Planning36,25.08
R21:Capacity Planning37,25.08
R21:Capacity Planning38,25.08
R21:Capacity Planning39,25.08
R21:Capacity Planning40,25.08
R21:Capacity Planning41,25.09
R21:Capacity Planning42,25.09
