,Max Temperature In  C
R18:Capacity Planning39,25.4
R18:Capacity Planning40,25.4
R18:Capacity Planning41,25.43
R18:Capacity Planning42,25.43
R20:Capacity Planning0,25.23
R20:Capacity Planning1,25.23
R20:Capacity Planning2,25.24
R20:Capacity Planning3,25.24
R20:Capacity Planning4,25.24
R20:Capacity Planning5,25.25
R20:Capacity Planning6,25.25
R20:Capacity Planning7,25.25
R20:Capacity Planning8,25.25
R20:Capacity Planning9,25.25
R20:Capacity Planning10,25.25
R20:Capacity Planning11,25.25
R20:Capacity Planning12,25.25
R20:Capacity Planning13,25.25
R20:Capacity Planning14,25.24
R20:Capacity Planning15,25.24
R20:Capacity Planning16,25.23
R20:Capacity Planning17,25.23
R20:Capacity Planning18,25.23
R20:Capacity Planning19,25.23
R20:Capacity Planning20,25.23
R20:Capacity Planning21,25.23
R20:Capacity Planning22,25.23
R20:Capacity Planning23,25.24
R20:Capacity Planning24,25.24
R20:Capacity Planning25,25.24
R20:Capacity Planning26,25.24
R20:Capacity Planning27,25.25
R20:Capacity Planning28,25.25
R20:Capacity Planning29,25.26
R20:Capacity Planning30,25.26
R20:Capacity Planning31,25.26
R20:Capacity Planning32,25.27
R20:Capacity Planning33,25.27
R20:Capacity Planning34,25.29
R20:Capacity Planning35,25.29
R20:Capacity Planning36,25.31
R20:Capacity Planning37,25.31
R20:Capacity Planning38,25.35
R20:Capacity Planning39,25.35
R20:Capacity Planning40,25.35
R20:Capacity Planning41,25.42
R20:Capacity Planning42,25.42
R21:Capacity Planning0,25.22
R21:Capacity Planning1,25.22
R21:Capacity Planning2,25.21
R21:Capacity Planning3,25.21
R21:Capacity Planning4,25.21
R21:Capacity Planning5,25.21
R21:Capacity Planning6,25.21
R21:Capacity Planning7,25.21
R21:Capacity Planning8,25.21
R21:Capacity Planning9,25.2
R21:Capacity Planning10,25.2
R21:Capacity Planning11,25.2
R21:Capacity Planning12,25.2
R21:Capacity Planning13,25.2
R21:Capacity Planning14,25.2
R21:Capacity Planning15,25.2
R21:Capacity Planning16,25.2
R21:Capacity Planning17,25.2
R21:Capacity Planning18,25.21
R21:Capacity Planning19,25.21
R21:Capacity Planning20,25.21
R21:Capacity Planning21,25.21
R21:Capacity Planning22,25.21
R21:Capacity Planning23,25.21
R21:Capacity Planning24,25.21
R21:Capacity Planning25,25.21
R21:Capacity Planning26,25.21
R21:Capacity Planning27,25.22
R21:Capacity Planning28,25.22
R21:Capacity Planning29,25.22
R21:Capacity Planning30,25.22
R21:Capacity Planning31,25.22
R21:Capacity Planning32,25.22
R21:Capacity Planning33,25.22
R21:Capacity Planning34,25.23
R21:Capacity Planning35,25.23
R21:Capacity Planning36,25.25
R21:Capacity Planning37,25.25
R21:Capacity Planning38,25.28
R21:Capacity Planning39,25.28
R21:Capacity Planning40,25.28
R21:Capacity Planning41,25.33
R21:Capacity Planning42,25.33
